valueLoss,policyLoss
0.0921,6.6760
0.1150,6.8928
0.1052,7.1258
0.1084,6.7814
0.1260,6.7831
0.1259,7.1700
0.1056,7.8237
0.0917,7.8974
0.0906,7.9113
0.0911,7.8750
0.1104,8.2668
0.1029,7.7321
0.0949,7.7936
0.0870,7.7946
0.0907,8.0374
0.1278,8.2642
0.0888,8.2775
0.0687,8.3927
0.0939,8.0571
0.0830,8.2850
0.1111,8.3718
0.1435,8.2656
0.1223,8.3450
0.1234,8.0269
0.1094,7.7806
0.1111,8.3346
0.1377,8.3987
0.1605,8.5939
0.1444,8.1680
0.1034,7.0919
0.1354,6.9861
0.1149,7.1382
0.1013,7.3059
0.0995,7.6956
0.0980,7.5609
0.0704,7.2456
0.0924,7.5340
0.1042,7.6085
0.1030,7.5647
0.0948,7.3636
0.0789,7.1424
0.0890,7.2857
0.0830,7.2190
0.0849,7.1952
0.0838,7.4789
0.0943,7.4241
0.1023,7.1739
0.1067,7.2580
0.0966,7.3334
0.1066,7.7447
0.1215,7.9617
0.1189,8.3984
0.1137,8.2997
0.1031,7.6901
0.1136,7.6444
0.1093,7.3531
0.1155,7.2787
0.1324,7.3250
0.1151,7.1574
0.0935,7.1729
0.0918,7.0595
0.0913,6.6362
0.1004,6.7407
0.0811,6.7078
0.0893,6.7292
0.0729,6.7473
0.0792,6.9065
0.0639,6.9210
0.0839,6.8710
0.0813,6.8207
0.1037,7.3508
0.1112,7.2436
0.1090,7.5469
0.1397,7.7127
0.1091,7.7168
0.0910,7.3158
0.0749,7.3313
0.0953,7.0235
0.0846,7.1290
0.0772,6.9565
0.0724,6.9399
0.0943,6.9045
0.1218,7.3491
0.0787,7.3498
0.0904,7.7343
0.0918,7.6006
0.0889,7.6623
0.1447,7.3580
0.1031,7.6880
0.2208,7.3180
0.2424,7.0914
0.0819,6.6787
0.2356,6.5382
0.1675,6.5282
0.1845,6.5124
0.2547,6.7261
0.0948,6.9762
0.1960,7.0405
0.1305,7.1837
0.1863,6.9962
0.1924,6.8554
0.1478,7.2664
0.1205,7.0480
0.1096,7.5437
0.1358,7.4025
0.0920,7.4992
0.1897,7.4891
0.1299,7.1817
0.2433,6.8741
0.2520,6.8076
0.1528,6.4962
0.1903,6.6317
0.1730,6.9448
0.1795,6.8186
0.1569,6.7093
0.1592,6.7436
0.1288,6.8419
0.1777,6.6283
0.1136,6.6266
0.1745,6.6487
0.1287,6.4457
0.1831,6.5895
0.2255,6.9180
0.0984,6.8365
0.1827,7.0866
0.1145,7.1880
0.2604,6.8398
0.3878,6.6902
0.1167,6.9395
0.3523,6.9380
0.5883,6.5658
0.3231,6.9773
0.0983,7.0369
0.1976,7.3630
0.1172,7.1244
0.1921,7.1474
0.1928,6.9562
0.1404,6.6693
0.1330,6.7684
0.1488,6.9012
0.1362,7.3821
0.1336,7.1663
0.1083,7.1506
0.1105,7.1956
0.1143,7.6680
0.1042,7.2549
0.1035,7.1545
0.0903,7.1345
0.1157,7.5311
0.0886,7.5965
0.0947,7.7619
0.0824,7.7964
0.1231,7.9109
0.0933,8.0549
0.1063,7.8528
0.1078,7.6794
0.0947,7.6225
0.0821,7.4894
0.1127,7.8922
0.0939,7.6554
0.1054,7.3486
0.0900,7.0622
0.1115,7.5328
0.1010,7.2851
0.1009,7.0224
0.0938,7.0112
0.1067,7.0032
0.0918,7.0895
0.0968,6.8736
0.0999,6.8213
0.1107,6.9893
0.0994,7.2199
0.0998,7.4284
0.1083,7.6180
0.0991,7.7382
0.1119,7.8026
0.0781,7.7698
0.0880,7.6207
0.0714,7.6542
0.0851,7.7459
0.1293,7.7368
0.0923,7.7237
0.3353,7.5491
0.3481,7.4292
0.1292,7.3331
0.5466,7.8066
0.8224,7.7755
0.3341,7.9498
0.2713,7.6891
0.5184,7.5536
0.3916,7.6244
0.2089,7.6618
0.3033,7.6275
0.3017,8.0542
0.2170,7.9524
0.4063,7.6396
0.2336,7.6294
0.1938,7.6265
0.2571,7.1039
0.2656,7.5570
0.2356,7.6258
0.1678,7.4253
0.1944,7.3925
0.1678,6.9150
0.1579,6.7580
0.1703,6.6672
0.1265,6.9283
0.1535,6.9167
0.1569,6.9225
0.1050,6.6670
0.1412,6.6663
0.0917,6.9417
0.1516,6.7445
0.1097,6.5150
0.1399,6.8723
0.1487,7.0638
0.1249,6.8497
0.1692,6.6184
0.1200,6.6947
0.1270,6.6586
0.1437,6.7333
0.1222,6.8485
0.1456,6.9753
0.1359,6.8753
0.1252,6.5933
0.1202,6.6051
0.1612,6.9627
0.1214,6.9655
0.1260,6.7986
0.1039,7.0535
0.1153,7.1421
0.0956,6.7966
0.1215,6.7717
0.0971,6.8336
0.1103,7.3530
0.0969,7.2351
0.1033,7.1805
0.0982,7.1527
0.0993,6.8726
0.0924,6.6030
0.0961,6.8084
0.1031,6.9321
0.0999,6.5665
0.0917,6.6295
0.0965,6.3569
0.0874,6.1878
0.0863,6.3133
0.0856,6.5391
0.0944,6.6444
0.0900,6.8113
0.1024,6.8905
0.0925,6.9660
0.0872,6.9664
0.0703,7.1784
0.0713,7.0621
0.0734,7.0433
0.0965,7.5892
0.0982,7.6378
0.0824,7.8633
0.0795,7.7169
0.0770,7.8161
0.0857,7.6334
0.0853,7.4566
0.0724,7.4690
0.0743,7.3463
0.0873,7.4105
0.0919,7.3544
0.0786,7.7645
0.0736,7.9933
0.0797,8.0751
0.0798,7.8496
0.0889,8.1007
0.0893,8.3345
0.0879,8.0796
0.0750,7.7886
0.0841,7.5988
0.1008,7.5687
0.0710,7.7213
0.0853,7.4445
0.1018,7.3934
0.0822,7.7240
0.0986,7.6163
0.0904,7.7470
0.0751,7.2305
0.0744,7.1053
0.0827,6.9401
0.0739,7.0190
0.0991,6.9425
0.1211,7.0066
0.0792,7.0207
0.0805,6.6829
0.0798,6.8219
0.0872,6.8182
0.0949,6.9875
0.0770,7.0215
0.0864,7.0051
0.0814,7.0593
0.0815,7.0598
0.0916,6.7826
0.0939,6.8131
0.0932,6.4420
0.0989,6.6526
0.0950,6.5371
0.1171,6.7886
0.1106,6.6617
0.0906,6.8828
0.0895,6.8350
0.0783,6.7235
0.0758,6.7584
0.0645,6.2956
0.0659,6.1827
0.0784,6.0779
0.0725,6.2459
0.0798,6.7388
0.0718,6.7841
0.0778,6.9902
0.0714,7.3022
0.0847,7.1916
0.0764,7.2519
0.0798,7.3767
0.0789,7.4626
0.1044,7.3407
0.0910,7.1995
0.1010,7.1998
0.0953,7.2319
0.0870,7.5242
0.0888,7.3217
0.0891,7.6971
0.0936,7.8855
0.0925,8.1200
0.0782,7.7826
0.0743,7.7205
0.0722,7.6937
0.0829,7.6263
0.0851,7.5137
0.0925,7.3742
0.0926,7.3785
0.1051,7.7037
0.1068,7.6873
0.1282,8.0028
0.1338,7.8185
0.1274,7.7596
0.1144,7.7746
0.1094,7.9162
0.1040,7.7226
0.1080,7.7050
0.0977,7.4608
0.0879,7.3017
0.0931,6.9397
0.0869,6.7227
0.0734,6.6115
0.0804,6.7015
0.0840,6.6140
0.0758,6.3556
0.0861,6.3530
0.0839,6.3095
0.0882,6.4598
0.0770,6.9206
0.0821,6.6966
0.0742,6.3263
0.0608,6.4672
0.0677,6.5515
0.0700,6.7608
0.0712,7.0087
